8/5p2/4pk2/1K3n1R/8/5N2/8/2r5 w - - 24 67
8/8/8/5kp1/8/2K4P/p6r/R7 w - - 0 59
8/5pkp/1r1p1p1b/3RpP2/p1B1P2P/1P4P1/1P2RK2/2r5 w - - 0 30
8/4k1rp/ppbqpp1Q/2p5/4P2P/2P2Br1/P1P3P1/3R3K w - - 0 26
8/p3r3/1p3k1p/7P/2P1K3/8/6R1/8 w - - 1 44
8/7p/4k3/4b3/5p1N/4p2P/r5P1/2R3K1 w - - 8 52
8/1Np3bk/R2p3p/3np1p1/8/1P6/1P3PPP/5K2 w - - 0 38
8/2pkr3/2bp3q/7r/2P5/P3P1RP/1Q3B1K/6R1 w - - 7 50
8/8/r5k1/5p1p/7p/6bK/3R4/3R4 w - - 0 63
8/1b3ppk/2n1p2p/ppP5/8/1PbNN1P1/P3PPBP/6K1 w - - 2 24
8/5pk1/5p2/2p5/2P1P3/4QP2/3R1KPq/7r w - - 2 57
8/7p/8/1p1kp3/r4pP1/5P1P/P1RBK3/b7 w - - 2 38
8/3R4/8/8/1BP1q1kP/1K1R1np1/8/8 w - - 6 97
8/5r1k/b6p/4B3/3PNp1P/5P2/r3pKP1/4R3 w - - 0 42
8/6k1/p2n1p2/P1B1p2R/1Pr3PK/4R2P/8/3r4 w - - 13 61
8/5pk1/8/1R4PP/p6r/P7/1PK5/8 w - - 1 45
8/7r/8/6K1/8/R3nk2/8/8 w - - 0 90
8/5bk1/4p3/p4pN1/1p4qQ/2r5/2p1K2R/2B5 w - - 0 55
8/7p/2Qq1k2/6p1/1p5r/5P2/8/6K1 w - - 0 82
8/2r1kp1p/R3p3/2Nb1p2/1p1P4/4P1P1/3nBP1P/6K1 w - - 2 32
8/K7/P6p/1b2k3/4B3/4n1p1/3B4/8 w - - 4 86
8/p5b1/3kp2p/2p2p1P/1p1q1N2/3B1bP1/PP1Q1P2/1K6 w - - 2 40
8/5p2/4p1kp/N2nP1p1/8/1p4PP/bP1B1P2/6K1 w - - 2 33
8/3k4/3Pp1pb/2B1P2p/7P/1pK2NP1/2n5/8 w - - 1 48
8/1k4rp/1P6/r5P1/5P1K/3RB3/8/8 w - - 9 64
8/b2n1ppk/B6p/3Pp3/Nr2P3/1p3q1P/1P3PP1/R5K1 w - - 0 31
8/2p2k2/3n3p/1p1P1p2/8/2P3P1/3r2BP/1R4K1 w - - 2 40
8/2pp3k/3b2p1/3P1p1p/3P4/3r1P1P/6P1/1R2BK2 w - - 4 39
